code	name	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
GM0003	Appingedam	0	0	0	0	0	0	0	0	0	0	1	1	1	1
GM0005	Bedum	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0007	Bellingwedde	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0009	Ten Boer	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0010	Delfzijl	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GM0014	Groningen	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GM0015	Grootegast	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0017	Haren	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0018	Hoogezand-Sappemeer	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GM0022	Leek	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0024	Loppersum	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0025	Marum	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0034	Almere	2	2	2	2	2	2	2	2	2	2	2	2	2	2
GM0037	Stadskanaal	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0039	Scheemda	0	0	0	0	0	0	null	null	null	null	null	null	null	null
GM0040	Slochteren	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0047	Veendam	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0048	Vlagtwedde	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0050	Zeewolde	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0051	Skarsterlân	0	0	0	0	0	0	0	0	0	0	null	null	null	null
GM0052	Winschoten	0	0	0	0	0	0	null	null	null	null	null	null	null	null
GM0053	Winsum	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0055	Boarnsterhim	0	0	0	0	0	0	0	0	0	0	null	null	null	null
GM0056	Zuidhorn	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0058	Dongeradeel	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0059	Achtkarspelen	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GM0060	Ameland	0	0	0	0	0	0	0	0	0	0	0	0	0	0
